,Order ID,Marital_Status,Income,Dt_Customer,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
0,CA-2016-152156,Single,58138.0,2012-09-04,58.0,3.0,8.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0
1,CA-2016-152156,Single,46344.0,2014-03-08,38.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
2,CA-2016-138688,Together,71613.0,2013-08-21,26.0,1.0,8.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
3,US-2015-108966,Together,26646.0,2014-02-10,26.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
4,US-2015-108966,Married,58293.0,2014-01-19,94.0,5.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
5,CA-2014-115812,Together,62513.0,2013-09-09,16.0,2.0,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
6,CA-2014-115812,Divorced,55635.0,2012-11-13,34.0,4.0,7.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
7,CA-2014-115812,Married,33454.0,2013-05-08,32.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
8,CA-2014-115812,Together,30351.0,2013-06-06,19.0,1.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0
9,CA-2014-115812,Together,5648.0,2014-03-13,68.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
10,CA-2014-115812,Married,0.0,2013-11-15,11.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
11,CA-2014-115812,Married,7500.0,2012-11-13,59.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
12,CA-2017-114412,Divorced,63033.0,2013-11-15,82.0,1.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
13,CA-2016-161389,Divorced,59354.0,2013-11-15,53.0,3.0,6.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
14,US-2015-118983,Married,17323.0,2012-10-10,38.0,1.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
15,US-2015-118983,Single,82800.0,2012-11-24,23.0,1.0,7.0,6.0,12.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,11.0,1.0
16,CA-2014-105893,Married,41850.0,2012-12-24,51.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
17,CA-2014-167164,Together,37760.0,2012-08-31,20.0,2.0,4.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
18,CA-2014-143336,Married,76995.0,2013-03-28,91.0,2.0,11.0,4.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0
19,CA-2014-143336,Single,33812.0,2012-11-03,86.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
20,CA-2014-143336,Married,37040.0,2012-08-08,41.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
21,CA-2016-137330,Married,2447.0,2013-01-06,42.0,15.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
22,CA-2016-137330,Married,58607.0,2012-12-23,63.0,3.0,2.0,3.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
23,US-2017-156909,Married,65324.0,2014-01-11,0.0,3.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
24,CA-2015-106320,Together,40689.0,2013-03-18,69.0,7.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
25,CA-2016-121755,Single,18589.0,2013-01-02,89.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
26,CA-2016-121755,Married,53359.0,2013-05-27,4.0,4.0,5.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
27,US-2015-150630,Single,0.0,2013-02-20,19.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
28,US-2015-150630,Married,38360.0,2013-05-31,26.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
29,US-2015-150630,Married,84618.0,2013-11-22,96.0,1.0,6.0,9.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,0.0
30,US-2015-150630,Divorced,10979.0,2014-05-22,34.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
31,US-2015-150630,Together,38620.0,2013-05-11,56.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
32,US-2015-150630,Together,40548.0,2012-10-10,31.0,2.0,2.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
33,US-2015-150630,Divorced,46610.0,2012-10-29,8.0,6.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0
34,CA-2017-107727,Married,68657.0,2013-02-20,4.0,1.0,3.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
35,CA-2016-117590,Single,49389.0,2013-08-29,55.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
36,CA-2016-117590,Married,67353.0,2013-12-31,37.0,5.0,5.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
37,CA-2015-117415,Married,23718.0,2013-09-02,76.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
38,CA-2015-117415,Widow,42429.0,2014-02-11,99.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
39,CA-2015-117415,Divorced,48948.0,2013-02-01,53.0,2.0,7.0,10.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0
40,CA-2015-117415,Married,80011.0,2013-04-29,3.0,2.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
41,CA-2017-120999,Married,20559.0,2013-03-12,88.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
42,CA-2016-101343,Together,21994.0,2012-12-24,4.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
43,CA-2017-139619,Single,0.0,2013-11-05,80.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
44,CA-2016-118255,Married,7500.0,2013-10-02,19.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
45,CA-2016-118255,Single,79941.0,2014-06-28,72.0,1.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
46,CA-2014-146703,Married,7500.0,2012-11-09,24.0,3.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0
47,CA-2016-169194,Together,41728.0,2013-05-24,92.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
48,CA-2016-169194,Single,0.0,2014-01-01,96.0,3.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
49,CA-2015-115742,Married,72550.0,2012-11-08,39.0,9.0,5.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
50,CA-2015-115742,Widow,65486.0,2014-05-12,29.0,1.0,4.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
51,CA-2015-115742,Married,79143.0,2012-08-11,2.0,1.0,6.0,9.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
52,CA-2015-115742,Single,35790.0,2013-01-02,54.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
53,CA-2016-105816,Divorced,82582.0,2014-06-07,54.0,1.0,4.0,9.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,1.0
54,CA-2016-105816,Married,66373.0,2013-06-12,57.0,7.0,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
55,CA-2016-111682,Together,82384.0,2012-11-19,55.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,1.0
