Order ID,Sales,Profit,Quantity,Order Date,Margin_%,Unnamed: 0,Marital_Status,Income,Dt_Customer,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Churn,Risk_Score,Risk_Category
CA-2014-101476,69.99,30.0957,1,9/12/2014,43.00000000000001,427,Married,75433.0,2014-04-05,28.0,2.0,2.0,5.0,10.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,No,30,Low Risk
CA-2014-101602,803.9599999999999,-30.961,8,12/15/2014,-3.851062241902582,1574,Married,42014.0,2012-08-17,56.0,6.0,7.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,No,40,Moderate Risk
CA-2014-101602,803.9599999999999,-30.961,8,12/15/2014,-3.851062241902582,1574,Married,42014.0,2012-08-17,56.0,6.0,7.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,Yes,70,High Risk
CA-2014-101602,803.9599999999999,-30.961,8,12/15/2014,-3.851062241902582,1575,Together,38201.0,2013-03-29,19.0,4.0,5.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,No,70,High Risk
CA-2014-101602,803.9599999999999,-30.961,8,12/15/2014,-3.851062241902582,1575,Together,38201.0,2013-03-29,19.0,4.0,5.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,Yes,100,High Risk
CA-2014-102008,48.94,24.47,1,9/30/2014,50.0,1790,Together,34026.0,2013-08-05,11.0,3.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,Yes,60,Moderate Risk
CA-2014-103366,149.95,65.978,5,1/15/2014,44.0,1913,Married,77870.0,2012-08-22,93.0,3.0,5.0,5.0,5.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,11.0,1.0,No,0,Low Risk
CA-2014-103373,779.796,-168.9558,2,5/18/2014,-21.666666666666668,1829,Together,22669.0,2013-05-22,30.0,3.0,4.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,No,40,Moderate Risk
CA-2014-103849,225.016,-70.7293,7,5/11/2014,-31.43300920823408,543,Married,84169.0,2013-08-07,9.0,1.0,7.0,6.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,1.0,Yes,70,High Risk
CA-2014-103849,225.016,-70.7293,7,5/11/2014,-31.43300920823408,543,Married,84169.0,2013-08-07,9.0,1.0,7.0,6.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,1.0,Yes,70,High Risk
CA-2014-103849,225.016,-70.7293,7,5/11/2014,-31.43300920823408,543,Married,84169.0,2013-08-07,9.0,1.0,7.0,6.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,1.0,No,40,Moderate Risk
CA-2014-103849,225.016,-70.7293,7,5/11/2014,-31.43300920823408,544,Together,54058.0,2013-06-04,56.0,2.0,4.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,Yes,100,High Risk
CA-2014-103849,225.016,-70.7293,7,5/11/2014,-31.43300920823408,544,Together,54058.0,2013-06-04,56.0,2.0,4.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,Yes,100,High Risk
